LAST SEEN   TYPE      REASON              OBJECT                                                       MESSAGE
32m         Normal    Scheduled           pod/myapp-my-app-app-service-v2-d548855f8-fkggl              Successfully assigned default/myapp-my-app-app-service-v2-d548855f8-fkggl to docker-desktop
6m22s       Normal    Scheduled           pod/myapp-my-app-app-service-v1-768f4789f6-ckhd4             Successfully assigned default/myapp-my-app-app-service-v1-768f4789f6-ckhd4 to docker-desktop
22m         Normal    Scheduled           pod/myapp-my-app-app-service-v2-67cd8df78f-6q82l             Successfully assigned default/myapp-my-app-app-service-v2-67cd8df78f-6q82l to docker-desktop
32m         Normal    Scheduled           pod/myapp-my-app-app-service-v1-6689dc76d8-25st6             Successfully assigned default/myapp-my-app-app-service-v1-6689dc76d8-25st6 to docker-desktop
26m         Normal    Scheduled           pod/myapp-my-app-app-service-v2-67cd8df78f-x9rmm             Successfully assigned default/myapp-my-app-app-service-v2-67cd8df78f-x9rmm to docker-desktop
22m         Normal    Scheduled           pod/myapp-my-app-app-service-v2-67cd8df78f-55xjg             Successfully assigned default/myapp-my-app-app-service-v2-67cd8df78f-55xjg to docker-desktop
30m         Normal    Scheduled           pod/myapp-my-app-model-service-754d65645c-5mthx              Successfully assigned default/myapp-my-app-model-service-754d65645c-5mthx to docker-desktop
32m         Normal    Scheduled           pod/myapp-my-app-app-service-v2-5594b7bb6-djxdt              Successfully assigned default/myapp-my-app-app-service-v2-5594b7bb6-djxdt to docker-desktop
30m         Normal    Scheduled           pod/myapp-my-app-model-service-586c7d5bbb-q6nlx              Successfully assigned default/myapp-my-app-model-service-586c7d5bbb-q6nlx to docker-desktop
22m         Normal    Scheduled           pod/myapp-my-app-model-service-586c7d5bbb-ngj66              Successfully assigned default/myapp-my-app-model-service-586c7d5bbb-ngj66 to docker-desktop
22m         Normal    Scheduled           pod/myapp-my-app-app-service-v1-6789df75d7-wn2hl             Successfully assigned default/myapp-my-app-app-service-v1-6789df75d7-wn2hl to docker-desktop
26m         Normal    Scheduled           pod/myapp-my-app-app-frontend-5667447c79-jtpvk               Successfully assigned default/myapp-my-app-app-frontend-5667447c79-jtpvk to docker-desktop
22m         Normal    Scheduled           pod/myapp-my-app-app-frontend-5667447c79-25znf               Successfully assigned default/myapp-my-app-app-frontend-5667447c79-25znf to docker-desktop
32m         Normal    Scheduled           pod/myapp-my-app-app-service-v1-75876bc886-x7b8p             Successfully assigned default/myapp-my-app-app-service-v1-75876bc886-x7b8p to docker-desktop
26m         Normal    Scheduled           pod/myapp-my-app-app-service-v1-6789df75d7-cp26x             Successfully assigned default/myapp-my-app-app-service-v1-6789df75d7-cp26x to docker-desktop
22m         Normal    Scheduled           pod/myapp-my-app-app-service-v2-67cd8df78f-66rkd             Successfully assigned default/myapp-my-app-app-service-v2-67cd8df78f-66rkd to docker-desktop
32m         Normal    Scheduled           pod/myapp-my-app-app-service-v2-d548855f8-q4xbw              Successfully assigned default/myapp-my-app-app-service-v2-d548855f8-q4xbw to docker-desktop
32m         Normal    Scheduled           pod/myapp-my-app-app-service-v2-56b44bc579-t4grb             Successfully assigned default/myapp-my-app-app-service-v2-56b44bc579-t4grb to docker-desktop
32m         Normal    Scheduled           pod/myapp-my-app-app-service-v1-787b6554b9-69ws4             Successfully assigned default/myapp-my-app-app-service-v1-787b6554b9-69ws4 to docker-desktop
31m         Normal    Scheduled           pod/myapp-my-app-app-frontend-78dd9dcddf-6vfr4               Successfully assigned default/myapp-my-app-app-frontend-78dd9dcddf-6vfr4 to docker-desktop
22m         Normal    Scheduled           pod/myapp-my-app-app-service-v1-6789df75d7-894sb             Successfully assigned default/myapp-my-app-app-service-v1-6789df75d7-894sb to docker-desktop
32m         Normal    Scheduled           pod/myapp-my-app-app-service-v1-cc45c687b-kfqct              Successfully assigned default/myapp-my-app-app-service-v1-cc45c687b-kfqct to docker-desktop
22m         Normal    Scheduled           pod/myapp-my-app-app-service-v1-6789df75d7-wz55g             Successfully assigned default/myapp-my-app-app-service-v1-6789df75d7-wz55g to docker-desktop
57m         Normal    Pulled              pod/myapp-my-app-app-service-v1-787b6554b9-s8cwj             (combined from similar events): Successfully pulled image "ghcr.io/remla2025-team16/app/app-service:v2.0.0" in 1.135s (2.305s including waiting). Image size: 0 bytes.
49m         Warning   Unhealthy           pod/prometheus-kube-prometheus-operator-6f69656888-bqx98     Readiness probe failed: Get "https://10.1.0.147:10250/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
44m         Warning   Unhealthy           pod/alertmanager-prometheus-kube-prometheus-alertmanager-0   Readiness probe failed: Get "http://10.1.0.163:9093/-/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
